"name","wikidata","commons","website","image","link_commons","link_de","link_en","link_fr","link_count","long","lat","timestamp"
"Military Museum of Geneva","Q27487115","Musée militaire genevois","http://museemilitaire.tripod.com/","http://commons.wikimedia.org/wiki/Special:FilePath/Le%20pavillon%20Dufour%20et%20le%20mus%C3%A9e%20militaire%20genevois%20%281%29.jpg","https://commons.wikimedia.org/wiki/Category:Mus%C3%A9e_militaire_genevois","https://fr.wikipedia.org/wiki/Mus%C3%A9e_militaire_genevois",,,6,"6.14162","46.23238",2020-01-13 11:52:05
"Kunstmuseum Pully","Q27487121",,"http://www.museedepully.ch",,,,,,12,"6.660449","46.50896",2020-01-13 11:52:05
"General-Guisan-Museum","Q27487123",,"http://www.generalguisan.ch",,,,,,10,"6.64496","46.50633",2020-01-13 11:52:05
"Museum auf der Burg","Q27487139",,,,,,,,11,"7.80336","46.31086",2020-01-13 11:52:05
"Local museum «im Feld»","Q27487149","Local museum «im Feld»","http://www.museum.reigoldswil.ch",,"https://commons.wikimedia.org/wiki/Category:Local_museum_%C2%ABim_Feld%C2%BB",,,,5,"7.69262","47.3986",2020-01-13 11:52:05
"Heimatmuseum Reinach","Q27487187",,"http://www.heimatmuseumreinach.ch",,,,,,4,"7.59055","47.49201",2020-01-13 11:52:05
"Musée des Arts et de Sciences","Q27488710",,,,,,,,12,"6.50361","46.82114",2020-01-13 11:52:05
"Musée du Verrier","Q27488730",,,,,,,,3,"6.454541","46.48318",2020-01-13 11:52:05
"Napoleonmuseum Thurgau","Q27488732",,"http://www.napoleonmuseum.ch",,,,,,8,"9.05925","47.67269",2020-01-13 11:52:05
"Museo Moesano","Q27488738","Museo moesano, San Vittore","http://www.museomoesano.ch",,"https://commons.wikimedia.org/wiki/Category:Museo_moesano,_San_Vittore",,,,0,"9.10965","46.2387",2020-01-13 11:52:05
"Obwalden historical museum","Q27488751","Historical museum Obwalden","http://www.museum-obwalden.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Historisches%20Museum%20Obwalden.jpg","https://commons.wikimedia.org/wiki/Category:Historical_museum_Obwalden",,,,3,"8.24649","46.89804",2020-01-13 11:52:05
"Ballyana archiv","Q27488797",,"http://www.ballyana.ch",,,,,,3,"8.006279","47.3776627",2020-01-13 11:52:05
"Paul Gugelmann-Museum (collection)","Q27488799","Paul Gugelmann-Museum (collection)","http://www.gugelmann-museum.ch",,"https://commons.wikimedia.org/wiki/Category:Paul_Gugelmann-Museum_(collection)",,,,6,"8.00488","47.37174",2020-01-13 11:52:05
"Archäologisches Museum Schötz","Q27488800",,"http://www.hvwiggertal.ch",,,,,,3,"7.988327401","47.169701443",2020-01-13 11:52:05
"Museum im Entlebucherhaus","Q27488803",,"http://www.entlebucherhaus.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Entlebucher-Museum.jpg",,,,,0,"8.020767444","46.956713768",2020-01-13 11:52:05
